mol_id,original_row_index,original_smiles,canonical_smiles,Eox,murcko_scaffold,molecular_target_key
0,7809,C#CC#CC(=O)c1ccccc1CC(=O)O,C#CC#CC(=O)c1ccccc1CC(=O)O,1.498,c1ccccc1,C#CC#CC(=O)c1ccccc1CC(=O)O||1.498
1,6559,C#CC#CC=C=CC=CC=CCC(=O)O,C#CC#CC=C=CC=CC=CCC(=O)O,0.262,NO_SCAFFOLD::C#CC#CC=C=CC=CC=CCC(=O)O,C#CC#CC=C=CC=CC=CCC(=O)O||0.262
2,307,C#CC(=O)C(=O)O,C#CC(=O)C(=O)O,2.188,NO_SCAFFOLD::C#CC(=O)C(=O)O,C#CC(=O)C(=O)O||2.188
3,44,C#CC(=O)O,C#CC(=O)O,2.454,NO_SCAFFOLD::C#CC(=O)O,C#CC(=O)O||2.454
4,1204,C#CC(C)(C)CC(=O)O,C#CC(C)(C)CC(=O)O,1.984,NO_SCAFFOLD::C#CC(C)(C)CC(=O)O,C#CC(C)(C)CC(=O)O||1.984
5,127,C#CC(C)(C)N,C#CC(C)(C)N,1.493,NO_SCAFFOLD::C#CC(C)(C)N,C#CC(C)(C)N||1.493
6,1948,C#CC(C)(C)NC(C)(C)C,C#CC(C)(C)NC(C)(C)C,0.92,NO_SCAFFOLD::C#CC(C)(C)NC(C)(C)C,C#CC(C)(C)NC(C)(C)C||0.92
7,2943,C#CC(C)(C)NC(C)(C)CC,C#CC(C)(C)NC(C)(C)CC,0.877,NO_SCAFFOLD::C#CC(C)(C)NC(C)(C)CC,C#CC(C)(C)NC(C)(C)CC||0.877
8,11408,C#CC(C)(C)Nc1c2ccccc2nc2ccccc12,C#CC(C)(C)Nc1c2ccccc2nc2ccccc12,0.465,c1ccc2nc3ccccc3cc2c1,C#CC(C)(C)Nc1c2ccccc2nc2ccccc12||0.465
9,3427,C#CC(C)(C)Nc1ccccc1,C#CC(C)(C)Nc1ccccc1,0.551,c1ccccc1,C#CC(C)(C)Nc1ccccc1||0.551
10,4515,C#CC(C)(CC)Nc1ccccc1,C#CC(C)(CC)Nc1ccccc1,0.515,c1ccccc1,C#CC(C)(CC)Nc1ccccc1||0.515
11,302,C#CC(C)(N)CC,C#CC(C)(N)CC,1.441,NO_SCAFFOLD::C#CC(C)(N)CC,C#CC(C)(N)CC||1.441
12,1161,C#CC(C)(N)CC(C)C,C#CC(C)(N)CC(C)C,1.379,NO_SCAFFOLD::C#CC(C)(N)CC(C)C,C#CC(C)(N)CC(C)C||1.379
13,1248,C#CC(C)C(N)C(=O)O,C#CC(C)C(N)C(=O)O,1.525,NO_SCAFFOLD::C#CC(C)C(N)C(=O)O,C#CC(C)C(N)C(=O)O||1.525
14,2030,C#CC(C)CC(N)C(=O)O,C#CC(C)CC(N)C(=O)O,1.464,NO_SCAFFOLD::C#CC(C)CC(N)C(=O)O,C#CC(C)CC(N)C(=O)O||1.464
15,3409,C#CC(C)NCc1ccccc1,C#CC(C)NCc1ccccc1,1.169,c1ccccc1,C#CC(C)NCc1ccccc1||1.169
16,2427,C#CC(C)Nc1ccccc1,C#CC(C)Nc1ccccc1,0.628,c1ccccc1,C#CC(C)Nc1ccccc1||0.628
17,5196,C#CC(CC(C)CC(C)(C)C)NC,C#CC(CC(C)CC(C)(C)C)NC,1.098,NO_SCAFFOLD::C#CC(CC(C)CC(C)(C)C)NC,C#CC(CC(C)CC(C)(C)C)NC||1.098
18,2924,C#CC(CCC)NC(C)(C)C,C#CC(CCC)NC(C)(C)C,0.99,NO_SCAFFOLD::C#CC(CCC)NC(C)(C)C,C#CC(CCC)NC(C)(C)C||0.99
19,2925,C#CC(CCC)NCCCC,C#CC(CCC)NCCCC,1.11,NO_SCAFFOLD::C#CC(CCC)NCCCC,C#CC(CCC)NCCCC||1.11
20,3510,C#CC(CN)c1ccc(O)cc1,C#CC(CN)c1ccc(O)cc1,0.926,c1ccccc1,C#CC(CN)c1ccc(O)cc1||0.926
21,4646,C#CC(CO)NCc1ccccc1,C#CC(CO)NCc1ccccc1,1.187,c1ccccc1,C#CC(CO)NCc1ccccc1||1.187
22,621,C#CC(N)(CC)CC,C#CC(N)(CC)CC,1.416,NO_SCAFFOLD::C#CC(N)(CC)CC,C#CC(N)(CC)CC||1.416
23,326,C#CC(N)C(=O)O,C#CC(N)C(=O)O,1.662,NO_SCAFFOLD::C#CC(N)C(=O)O,C#CC(N)C(=O)O||1.662
24,130,C#CC(N)CC,C#CC(N)CC,1.502,NO_SCAFFOLD::C#CC(N)CC,C#CC(N)CC||1.502
25,1232,C#CC(N)CCC(=O)O,C#CC(N)CCC(=O)O,1.492,NO_SCAFFOLD::C#CC(N)CCC(=O)O,C#CC(N)CCC(=O)O||1.492
26,1212,C#CC(N)CCC(C)N,C#CC(N)CCC(C)N,1.314,NO_SCAFFOLD::C#CC(N)CCC(C)N,C#CC(N)CCC(C)N||1.314
27,4044,C#CC(N)CCCCCCCC,C#CC(N)CCCCCCCC,1.388,NO_SCAFFOLD::C#CC(N)CCCCCCCC,C#CC(N)CCCCCCCC||1.388
28,662,C#CC(N)CCCN,C#CC(N)CCCN,1.329,NO_SCAFFOLD::C#CC(N)CCCN,C#CC(N)CCCN||1.329
29,7649,C#CC(NC(C)(C)CC(C)(C)C)C(C)C,C#CC(NC(C)(C)CC(C)(C)C)C(C)C,0.78,NO_SCAFFOLD::C#CC(NC(C)(C)CC(C)(C)C)C(C)C,C#CC(NC(C)(C)CC(C)(C)C)C(C)C||0.78
30,2026,C#CC(NC(C)=O)C(=O)O,C#CC(NC(C)=O)C(=O)O,1.797,NO_SCAFFOLD::C#CC(NC(C)=O)C(=O)O,C#CC(NC(C)=O)C(=O)O||1.797
31,4048,C#CC(NC)C(CC)CCCC,C#CC(NC)C(CC)CCCC,1.078,NO_SCAFFOLD::C#CC(NC)C(CC)CCCC,C#CC(NC)C(CC)CCCC||1.078
32,8832,C#CC(NCCC(C)CC(C)(C)C)C(C)C,C#CC(NCCC(C)CC(C)(C)C)C(C)C,0.999,NO_SCAFFOLD::C#CC(NCCC(C)CC(C)(C)C)C(C)C,C#CC(NCCC(C)CC(C)(C)C)C(C)C||0.999
33,1096,C#CC1(N)CCCCC1,C#CC1(N)CCCCC1,1.368,C1CCCCC1,C#CC1(N)CCCCC1||1.368
34,10403,C#CC1(NC(=O)O)CCC(c2ccccc2)CC1,C#CC1(NC(=O)O)CCC(c2ccccc2)CC1,1.23,c1ccc(C2CCCCC2)cc1,C#CC1(NC(=O)O)CCC(c2ccccc2)CC1||1.23
35,5181,C#CC1(O)CC(C)(C)NC(C)(C)C1,C#CC1(O)CC(C)(C)NC(C)(C)C1,0.75,C1CCNCC1,C#CC1(O)CC(C)(C)NC(C)(C)C1||0.75
36,7515,C#CC1(O)CC(C)NC2(C)CCCCC12,C#CC1(O)CC(C)NC2(C)CCCCC12,0.893,C1CCC2NCCCC2C1,C#CC1(O)CC(C)NC2(C)CCCCC12||0.893
37,7514,C#CC1(O)CC(C)NC2CC(C)CCC21,C#CC1(O)CC(C)NC2CC(C)CCC21,0.959,C1CCC2NCCCC2C1,C#CC1(O)CC(C)NC2CC(C)CCC21||0.959
38,6251,C#CC1(O)CC(C)NC2CCCCC21,C#CC1(O)CC(C)NC2CCCCC21,0.988,C1CCC2NCCCC2C1,C#CC1(O)CC(C)NC2CCCCC21||0.988
39,3733,C#CC1=CC(C)(C)NC(C)(C)C1,C#CC1=CC(C)(C)NC(C)(C)C1,0.815,C1=CCNCC1,C#CC1=CC(C)(C)NC(C)(C)C1||0.815
40,11388,C#CC=CC1C(O)CCCC12CCCC(CC=C)N2,C#CC=CC1C(O)CCCC12CCCC(CC=C)N2,0.8,C1CCC2(CC1)CCCCN2,C#CC=CC1C(O)CCCC12CCCC(CC=C)N2||0.8
41,12848,C#CC=CC1C(O)CCCC12CCCC(CC=CC=C)N2,C#CC=CC1C(O)CCCC12CCCC(CC=CC=C)N2,0.7,C1CCC2(CC1)CCCCN2,C#CC=CC1C(O)CCCC12CCCC(CC=CC=C)N2||0.7
42,12850,C#CC=CC1C(O)CCCC12CCCC(CCC=C=C)N2,C#CC=CC1C(O)CCCC12CCCC(CCC=C=C)N2,0.757,C1CCC2(CC1)CCCCN2,C#CC=CC1C(O)CCCC12CCCC(CCC=C=C)N2||0.757
43,12844,C#CC=CC1C(O)CCCC12CCCC(CCCC#C)N2,C#CC=CC1C(O)CCCC12CCCC(CCCC#C)N2,0.653,C1CCC2(CC1)CCCCN2,C#CC=CC1C(O)CCCC12CCCC(CCCC#C)N2||0.653
44,12713,C#CC=CCC1CCCC2(CCCC(O)C2C=CC#C)N1,C#CC=CCC1CCCC2(CCCC(O)C2C=CC#C)N1,0.694,C1CCC2(CC1)CCCCN2,C#CC=CCC1CCCC2(CCCC(O)C2C=CC#C)N1||0.694
45,12849,C#CC=CCC1CCCC2(CCCC(O)C2C=CC=C)N1,C#CC=CCC1CCCC2(CCCC(O)C2C=CC=C)N1,0.66,C1CCC2(CC1)CCCCN2,C#CC=CCC1CCCC2(CCCC(O)C2C=CC=C)N1||0.66
46,133,C#CCC(=O)O,C#CCC(=O)O,2.281,NO_SCAFFOLD::C#CCC(=O)O,C#CCC(=O)O||2.281
47,3043,C#CCC(C)CC(N)C(=O)O,C#CCC(C)CC(N)C(=O)O,1.442,NO_SCAFFOLD::C#CCC(C)CC(N)C(=O)O,C#CCC(C)CC(N)C(=O)O||1.442
48,2972,C#CCC(CC(C)C)C(=O)O,C#CCC(CC(C)C)C(=O)O,2.042,NO_SCAFFOLD::C#CCC(CC(C)C)C(=O)O,C#CCC(CC(C)C)C(=O)O||2.042
49,1198,C#CCC(CC)C(=O)O,C#CCC(CC)C(=O)O,2.101,NO_SCAFFOLD::C#CCC(CC)C(=O)O,C#CCC(CC)C(=O)O||2.101
50,1984,C#CCC(CCC)C(=O)O,C#CCC(CCC)C(=O)O,1.992,NO_SCAFFOLD::C#CCC(CCC)C(=O)O,C#CCC(CCC)C(=O)O||1.992
51,2970,C#CCC(CCCC)C(=O)O,C#CCC(CCCC)C(=O)O,2.037,NO_SCAFFOLD::C#CCC(CCCC)C(=O)O,C#CCC(CCCC)C(=O)O||2.037
52,4084,C#CCC(CCCCC)C(=O)O,C#CCC(CCCCC)C(=O)O,2.007,NO_SCAFFOLD::C#CCC(CCCCC)C(=O)O,C#CCC(CCCCC)C(=O)O||2.007
53,5229,C#CCC(CCCCCC)C(=O)O,C#CCC(CCCCCC)C(=O)O,1.975,NO_SCAFFOLD::C#CCC(CCCCCC)C(=O)O,C#CCC(CCCCCC)C(=O)O||1.975
54,2914,C#CCC(N)(CCC)CCC,C#CCC(N)(CCC)CCC,1.228,NO_SCAFFOLD::C#CCC(N)(CCC)CCC,C#CCC(N)(CCC)CCC||1.228
55,681,C#CCC(N)C(=O)O,C#CCC(N)C(=O)O,1.587,NO_SCAFFOLD::C#CCC(N)C(=O)O,C#CCC(N)C(=O)O||1.587
