split,seed,target_train_size,mol_id,split_role
random,11,7000,11224,train
random,11,7000,13139,train
random,11,7000,273,train
random,11,7000,5766,train
random,11,7000,11248,train
random,11,7000,5952,train
random,11,7000,12724,train
random,11,7000,9616,train
random,11,7000,15098,train
random,11,7000,12430,train
random,11,7000,8924,train
random,11,7000,4295,train
random,11,7000,9465,train
random,11,7000,7403,train
random,11,7000,11010,train
random,11,7000,176,train
random,11,7000,748,train
random,11,7000,13701,train
random,11,7000,11199,train
random,11,7000,11711,train
random,11,7000,7800,train
random,11,7000,11707,train
random,11,7000,12676,train
random,11,7000,10027,train
random,11,7000,3044,train
random,11,7000,14509,train
random,11,7000,3882,train
random,11,7000,13812,train
random,11,7000,8944,train
random,11,7000,13006,train
random,11,7000,9568,train
random,11,7000,14310,train
random,11,7000,4214,train
random,11,7000,15029,train
random,11,7000,9260,train
random,11,7000,8266,train
random,11,7000,1585,train
random,11,7000,3982,train
random,11,7000,8026,train
random,11,7000,3259,train
random,11,7000,7095,train
random,11,7000,5933,train
random,11,7000,4478,train
random,11,7000,4664,train
random,11,7000,695,train
random,11,7000,2225,train
random,11,7000,10665,train
random,11,7000,6892,train
random,11,7000,1414,train
random,11,7000,9805,train
random,11,7000,1069,train
random,11,7000,15215,train
random,11,7000,8753,train
random,11,7000,4191,train
random,11,7000,5879,train
random,11,7000,7355,train
random,11,7000,9602,train
random,11,7000,5855,train
random,11,7000,5487,train
random,11,7000,1097,train
random,11,7000,4615,train
random,11,7000,719,train
random,11,7000,10413,train
random,11,7000,9822,train
random,11,7000,548,train
random,11,7000,8124,train
random,11,7000,8608,train
random,11,7000,8572,train
random,11,7000,12191,train
random,11,7000,6254,train
random,11,7000,3374,train
random,11,7000,7733,train
random,11,7000,481,train
random,11,7000,10798,train
random,11,7000,5360,train
random,11,7000,1034,train
random,11,7000,11046,train
random,11,7000,14195,train
random,11,7000,7404,train
random,11,7000,4461,train
random,11,7000,9366,train
random,11,7000,303,train
random,11,7000,4033,train
random,11,7000,5394,train
random,11,7000,12824,train
random,11,7000,7114,train
random,11,7000,58,train
random,11,7000,12572,train
random,11,7000,3450,train
random,11,7000,11802,train
random,11,7000,11876,train
