split,seed,target_train_size,mol_id,split_role
scaffold,33,7000,14772,train
scaffold,33,7000,840,train
scaffold,33,7000,6482,train
scaffold,33,7000,15195,train
scaffold,33,7000,12946,train
scaffold,33,7000,8721,train
scaffold,33,7000,6370,train
scaffold,33,7000,13233,train
scaffold,33,7000,3947,train
scaffold,33,7000,11536,train
scaffold,33,7000,7054,train
scaffold,33,7000,8772,train
scaffold,33,7000,7136,train
scaffold,33,7000,10154,train
scaffold,33,7000,12734,train
scaffold,33,7000,11765,train
scaffold,33,7000,9656,train
scaffold,33,7000,12633,train
scaffold,33,7000,11356,train
scaffold,33,7000,4310,train
scaffold,33,7000,14343,train
scaffold,33,7000,3537,train
scaffold,33,7000,14709,train
scaffold,33,7000,14925,train
scaffold,33,7000,9478,train
scaffold,33,7000,1372,train
scaffold,33,7000,7771,train
scaffold,33,7000,3362,train
scaffold,33,7000,13362,train
scaffold,33,7000,10854,train
scaffold,33,7000,11762,train
scaffold,33,7000,8548,train
scaffold,33,7000,13103,train
scaffold,33,7000,5489,train
scaffold,33,7000,15166,train
scaffold,33,7000,859,train
scaffold,33,7000,8952,train
scaffold,33,7000,8872,train
scaffold,33,7000,10909,train
scaffold,33,7000,13800,train
scaffold,33,7000,10580,train
scaffold,33,7000,13100,train
scaffold,33,7000,4272,train
scaffold,33,7000,8987,train
scaffold,33,7000,14616,train
scaffold,33,7000,3381,train
scaffold,33,7000,8154,train
scaffold,33,7000,9732,train
scaffold,33,7000,10780,train
scaffold,33,7000,2084,train
scaffold,33,7000,7214,train
scaffold,33,7000,7555,train
scaffold,33,7000,8311,train
scaffold,33,7000,1188,train
scaffold,33,7000,11229,train
scaffold,33,7000,6413,train
scaffold,33,7000,15220,train
scaffold,33,7000,8915,train
scaffold,33,7000,2826,train
scaffold,33,7000,5562,train
scaffold,33,7000,8611,train
scaffold,33,7000,11714,train
scaffold,33,7000,14876,train
scaffold,33,7000,7930,train
scaffold,33,7000,5018,train
scaffold,33,7000,1061,train
scaffold,33,7000,9675,train
scaffold,33,7000,14562,train
scaffold,33,7000,11224,train
scaffold,33,7000,11792,train
scaffold,33,7000,11069,train
scaffold,33,7000,995,train
scaffold,33,7000,13210,train
scaffold,33,7000,9936,train
scaffold,33,7000,10943,train
scaffold,33,7000,7189,train
scaffold,33,7000,7676,train
scaffold,33,7000,2557,train
scaffold,33,7000,14621,train
scaffold,33,7000,3262,train
scaffold,33,7000,4919,train
scaffold,33,7000,10306,train
scaffold,33,7000,11485,train
scaffold,33,7000,1178,train
scaffold,33,7000,4494,train
scaffold,33,7000,1349,train
scaffold,33,7000,405,train
scaffold,33,7000,11592,train
scaffold,33,7000,9884,train
scaffold,33,7000,2489,train
scaffold,33,7000,1781,train
scaffold,33,7000,8041,train
scaffold,33,7000,2621,train
scaffold,33,7000,9233,train
scaffold,33,7000,12868,train
scaffold,33,7000,12676,train
scaffold,33,7000,15024,train
scaffold,33,7000,14186,train
scaffold,33,7000,14038,train
scaffold,33,7000,9034,train
scaffold,33,7000,5479,train
scaffold,33,7000,7923,train
scaffold,33,7000,4873,train
scaffold,33,7000,14834,train
scaffold,33,7000,1277,train
scaffold,33,7000,4895,train
scaffold,33,7000,1427,train
scaffold,33,7000,7873,train
scaffold,33,7000,2906,train
scaffold,33,7000,3304,train
scaffold,33,7000,9794,train
scaffold,33,7000,4643,train
scaffold,33,7000,5979,train
scaffold,33,7000,6148,train
scaffold,33,7000,9950,train
scaffold,33,7000,11316,train
scaffold,33,7000,14917,train
scaffold,33,7000,2477,train
scaffold,33,7000,843,train
scaffold,33,7000,2558,train
scaffold,33,7000,14017,train
scaffold,33,7000,6059,train
scaffold,33,7000,8753,train
scaffold,33,7000,10100,train
scaffold,33,7000,4631,train
scaffold,33,7000,11819,train
scaffold,33,7000,3158,train
scaffold,33,7000,1199,train
scaffold,33,7000,13364,train
scaffold,33,7000,6505,train
scaffold,33,7000,9791,train
scaffold,33,7000,9133,train
scaffold,33,7000,5580,train
scaffold,33,7000,1894,train
scaffold,33,7000,8723,train
scaffold,33,7000,15190,train
scaffold,33,7000,1811,train
scaffold,33,7000,3341,train
scaffold,33,7000,11968,train
scaffold,33,7000,7988,train
scaffold,33,7000,8533,train
scaffold,33,7000,73,train
scaffold,33,7000,1589,train
scaffold,33,7000,13500,train
