method_id,method_label,representation,model,split,seed,train_size,actual_train_size,n_val,n_test,mae,rmse,r2,source_table,status
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,11,500,500,1523,3047,0.1501721475531769,0.2374114582550041,0.727613201508421,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,22,500,500,1523,3047,0.1430347004390344,0.2084708818436416,0.7808951598032403,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,33,500,500,1523,3047,0.1506435596318499,0.215991600491127,0.7724536286206825,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,44,500,500,1523,3047,0.1582252794569025,0.2285143139776656,0.7398411364176142,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,55,500,500,1523,3047,0.1579334811243088,0.240463029558464,0.7161432416892035,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,11,500,500,1523,3047,0.1359194219112396,0.222175489025902,0.7614524364471436,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,22,500,500,1523,3047,0.131653606891632,0.1938688233010807,0.810513973236084,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,33,500,500,1523,3047,0.1309351474046707,0.1918795436606946,0.8204218149185181,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,44,500,500,1523,3047,0.1430629789829254,0.2096887465381665,0.7809405326843262,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,55,500,500,1523,3047,0.1362464278936386,0.2159173669552191,0.7711358666419983,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,11,500,500,1523,3047,0.1290892213582992,0.2124917028714653,0.781794011592865,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,22,500,500,1523,3047,0.1433674991130828,0.997770237515988,-4.019058704376221,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,33,500,500,1523,3047,0.1230437308549881,0.1822341839667425,0.8380220532417297,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,44,500,500,1523,3047,0.1333290636539459,0.192392707221701,0.8155880570411682,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,55,500,500,1523,3047,0.1421315670013427,1.0124940000756593,-4.032543182373047,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,11,500,500,1523,3047,0.1928965077707146,0.2784487500146774,0.6253090105786224,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,22,500,500,1523,3047,0.1936549422222671,0.2695903193594153,0.6335879472016144,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,33,500,500,1523,3047,0.191391491637269,0.2679063750329528,0.6499240424883788,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,44,500,500,1523,3047,0.2011057329268693,0.2772037664428169,0.6171663868545028,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,55,500,500,1523,3047,0.1970931601750467,0.2784687481391822,0.6193239670928913,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,11,500,500,1523,3047,0.1905290186405182,0.2720167442761974,0.6424193382263184,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,22,500,500,1523,3047,0.1926904916763305,0.264297336912865,0.6478345394134521,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,33,500,500,1523,3047,0.1902918666601181,0.2614387751226041,0.6666225790977478,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,44,500,500,1523,3047,0.1943245977163314,0.2713713925410465,0.6331065893173218,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,55,500,500,1523,3047,0.1819236278533935,0.2602776378811931,0.6674351692199707,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,11,500,500,1523,3047,0.2123748064041137,0.3005380514271131,0.5635026097297668,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,22,500,500,1523,3047,0.2070985585451126,0.2836810978446289,0.5942841172218323,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,33,500,500,1523,3047,0.2118384391069412,0.2925686838539194,0.582504391670227,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,44,500,500,1523,3047,0.2122489511966705,0.2941155305165681,0.5690293312072754,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,55,500,500,1523,3047,0.2094367444515228,0.2927531275407046,0.5792678594589233,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,11,500,500,1523,3047,0.165743887424469,0.2398852237915043,0.7219072107066044,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\02_gine_seed5\results\gine_seed5_full_raw_results.csv,ok
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,22,500,500,1523,3047,0.1460286378860473,0.2147292352141908,0.7675425100450012,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\02_gine_seed5\results\gine_seed5_full_raw_results.csv,ok
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,33,500,500,1523,3047,0.1520083397626876,0.2176595740875741,0.7689256494037193,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\02_gine_seed5\results\gine_seed5_full_raw_results.csv,ok
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,44,500,500,1523,3047,0.1786492019891739,0.245422560609455,0.699917427597206,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\02_gine_seed5\results\gine_seed5_full_raw_results.csv,ok
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,55,500,500,1523,3047,0.1517389565706253,0.2255390085395157,0.7502842386916662,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\02_gine_seed5\results\gine_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,11,1000,1000,1523,3047,0.1302334762881942,0.2016598121482268,0.8034733638490826,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,22,1000,1000,1523,3047,0.1306762173147224,0.1978951507513015,0.802561669872598,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,33,1000,1000,1523,3047,0.1271214486342141,0.1892125255219329,0.8253792077825143,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,44,1000,1000,1523,3047,0.1356999438604968,0.2019283260050349,0.7968549247176769,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,55,1000,1000,1523,3047,0.1432091914659584,0.2212619108592741,0.7596656056252964,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,11,1000,1000,1523,3047,0.1214425265789032,0.1917648751004778,0.8222863078117371,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,22,1000,1000,1523,3047,0.1189054772257804,0.1773195035887173,0.8414835929870605,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,33,1000,1000,1523,3047,0.1169483587145805,0.173623183877055,0.8529680967330933,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,44,1000,1000,1523,3047,0.1216453313827514,0.1818532109891151,0.8352392315864563,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,55,1000,1000,1523,3047,0.1222131177783012,0.1921565375934656,0.8187354207038879,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,11,1000,1000,1523,3047,0.1116637289524078,0.1713766383062165,0.8580661416053772,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,22,1000,1000,1523,3047,0.120114155113697,0.8039588962884774,-2.2585835456848145,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,33,1000,1000,1523,3047,0.1074272915720939,0.1628548475351879,0.870640754699707,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
