ik_ns,eox_sce,n_lee,n_reports,sd_reports,smiles,name,eox,n,spread,eox_exp_vs_agcl,loo_recalibrated
ABRWESLGGMHKEA-UHFFFAOYSA-N,0.79,1,1,0.0,CC(C)(C)Nc1ccccc1,N-(tert-butyl)aniline,0.47,1,0.0,0.8340000000000001,0.8242880319529913
AFBPFSWMIHJQDM-UHFFFAOYSA-N,0.8680000000000001,1,13,0.1318740658005554,CNc1ccccc1,N-methylaniline,0.643,1,0.0,0.9120000000000001,0.9599758880518878
BHRZNVHARXXAHW-UHFFFAOYSA-N,1.75,1,1,0.0,CCC(C)N,sec-butylamine,1.379,1,0.0,1.794,1.514895944258193
BWLUMTFWVZZZND-UHFFFAOYSA-N,1.381,1,2,0.135,c1ccc(CNCc2ccccc2)cc1,dibenzylamine,1.003,1,0.0,1.425,1.23462838157
CBCKQZAAMUWICA-UHFFFAOYSA-N,0.7055,1,2,0.2104999999999999,Nc1ccc(N)cc1,p-phenylenediamine,0.201,1,0.0,0.7495,0.6094725462286927
CDZOGLJOFWFVOZ-UHFFFAOYSA-N,0.7805,1,2,0.0205,CCCNc1ccccc1,N-propylaniline,0.589,1,0.0,0.8245,0.9187660448769823
CHMBIJAOCISYEW-UHFFFAOYSA-N,0.6260000000000001,1,1,0.0,CC(=O)Nc1ccc(N)cc1,p-aminoacetanilide,0.404,1,0.0,0.6700000000000002,0.7756723251846638
CWLKGDAVCFYWJK-UHFFFAOYSA-N,0.7769999999999999,1,1,0.0,Nc1cccc(O)c1,3-aminophenol,0.724,1,0.0,0.821,1.0255759181057844
DIIIISSCIXVANO-UHFFFAOYSA-N,0.1,1,1,0.0,CNNC,"1,2-dimethylhydrazine",1.154,1,0.0,0.144,1.403546117510075
DLFVBJFMPXGRIB-UHFFFAOYSA-N,2.0,1,1,0.0,CC(N)=O,acetamide,0.817,1,0.0,2.044,1.077629096513478
DMBHHRLKUKUOEG-UHFFFAOYSA-N,0.8672000000000001,1,5,0.0748823076567489,c1ccc(Nc2ccccc2)cc1,diphenylamine,0.388,1,0.0,0.9112,0.7567491990908706
DPBLXKKOBLCELK-UHFFFAOYSA-N,1.446,1,1,0.0,CCCCCN,n-pentylamine,1.346,1,0.0,1.49,1.5075640966146264
FJDUDHYHRVPMJZ-UHFFFAOYSA-N,1.476,1,1,0.0,CCCCCCCCCN,n-nonylamine,1.283,1,0.0,1.52,1.454194979436077
FRCFWPVMFJMNDP-UHFFFAOYSA-N,0.788,1,2,0.008,CC(C)Nc1ccccc1,N-isopropylaniline,0.517,1,0.0,0.8320000000000001,0.8616545383704741
GEYOCULIXLDCMW-UHFFFAOYSA-N,0.494,1,1,0.0,Nc1ccccc1N,o-phenylenediamine,0.453,1,0.0,0.538,0.8173360141523636
