split,method,a,b,c,b_ci95,c_ci95,c_at_upper_bound_fraction,fit_mae_at_10000,observed_mae_at_10000
random,RDKit + RF,0.5287563856991495,0.20014754037734306,1.506592248557018e-10,"[0.18874192835905135, 0.2994306769284734]","[7.922818625094155e-21, 0.03570591606757362]",0.0005,0.0836884384868979,0.08368535838614341
random,RDKit + XGB,1.0373828360071036,0.45852580205458243,0.07583148732093503,"[0.329501661695814, 0.5937190204898697]","[0.06466569102160034, 0.08215386964337056]",0.0005,0.0910312164968885,0.09168694615364073
random,RDKit + MLP,0.6430214278962,0.2783105792699731,0.019812335837382476,"[0.20506162979216028, 0.47492452107913924]","[2.8856710037072725e-18, 0.04917767500047355]",0.0005,0.06935543021729543,0.06895465552806852
random,Morgan + RF,0.6401718603202834,0.19040713897249734,3.701306865918497e-05,"[0.18552214118767033, 0.1962287803210819]","[2.4594457755462606e-21, 3.5373770988633954e-05]",0.0005,0.11086974141294359,0.10968617905967767
random,Morgan + XGB,1.4028417746066908,0.5442763710479064,0.14241510474545227,"[0.37916366507169025, 0.7146500869604211]","[0.13387205567513133, 0.14733734445238952]",0.0005,0.1517455679787072,0.15252502858638758
random,Morgan + MLP,0.7732170641728181,0.20511612275608934,1.77896424580161e-08,"[0.20109700658462806, 0.20899033306986078]","[4.758705440532213e-22, 1.476233721597189e-08]",0.0005,0.116906054871336,0.11289743632078167
random,2D graph + GINE,1.1160382017834756,0.3094239723843349,2.4156515654934233e-19,"[0.28741021355325586, 0.3340230888402006]","[8.901566421122218e-22, 2.7116608326150048e-12]",0.0005,0.06456292104930807,0.0605665750801563
scaffold,RDKit + RF,1.2223851634919496,0.44486571494637905,0.10560410589904595,"[0.09611803950133585, 0.9866935931055982]","[4.763169743256861e-19, 0.12974201369197913]",0.0005,0.12591575617535872,0.12385639627448682
scaffold,RDKit + XGB,0.8676460595683333,0.4231673302878071,0.10570808855683878,"[0.06832180766847848, 0.9931888268667663]","[1.0664344363254421e-19, 0.1250839141383766]",0.0005,0.12331459855260118,0.12312281727790828
scaffold,RDKit + MLP,0.5437564236674396,0.252499846390169,0.0514619251099933,"[0.11080252338023462, 0.8849376313034317]","[3.615946359552406e-21, 0.10914798866957413]",0.0005,0.10459990192365134,0.10476193577051156
scaffold,Morgan + RF,0.3616676811984472,0.18169401768635182,0.10283795679171291,"[0.06020258083822429, 0.7764973430609544]","[8.50658066288814e-21, 0.17544739023469128]",0.0005,0.17068542262359104,0.17010587148233808
scaffold,Morgan + XGB,0.5339555939887657,0.39544432647755096,0.16721943119459587,"[0.0368476411129704, 0.9840209981688113]","[1.1143285509760783e-16, 0.18244412399099302]",0.0005,0.18120653618638766,0.18210351765155788
scaffold,Morgan + MLP,0.6727118788028369,0.15340475068019374,8.026351859283742e-18,"[0.11149563678956374, 0.6238484494183031]","[2.232189599614022e-22, 0.15199858715693043]",0.0005,0.16376085376100005,0.1593722313642502
scaffold,2D graph + GINE,0.8742244770689037,0.24380390743952965,1.3076711321354178e-11,"[0.20278847283482096, 0.46789206660198074]","[2.9926511106356024e-22, 0.059826298098996186]",0.0005,0.09255658711190119,0.09282046705484387
