split,train_size,rank_pair,better,worse,mean_diff_V,abs_mean_diff_V,p_paired_t,all_seeds_agree,resolved,below_experimental_repro_sd
random,500,1-2,RDKit + MLP,RDKit + XGB,0.0013713002204895186,0.0013713002204895186,0.7646309332142839,False,False,True
random,500,2-3,RDKit + XGB,RDKit + RF,0.016438317024233245,0.016438317024233245,0.0009309139838506702,True,True,True
random,500,3-4,RDKit + RF,2D graph + GINE,0.006831971085546118,0.006831971085546118,0.23375508849942397,False,False,True
random,500,4-5,2D graph + GINE,Morgan + XGB,0.03111811578273772,0.03111811578273772,0.004348868578331096,True,True,True
random,500,5-6,Morgan + XGB,Morgan + RF,0.0052764464370950006,0.0052764464370950006,0.12126636690400645,True,False,True
random,500,6-7,Morgan + RF,Morgan + MLP,0.015371132994438819,0.015371132994438819,0.0013087424077004716,True,True,True
random,1000,1-2,RDKit + MLP,RDKit + XGB,0.00753546059131624,0.00753546059131624,0.027737234052724005,False,False,True
random,1000,2-3,RDKit + XGB,RDKit + RF,0.013157093176653843,0.013157093176653843,0.0035893119936953833,True,True,True
random,1000,3-4,RDKit + RF,2D graph + GINE,0.001097648194024098,0.001097648194024098,0.8406358833679701,False,False,True
random,1000,4-5,2D graph + GINE,Morgan + RF,0.037648900024122266,0.037648900024122266,0.00036839344293412233,True,True,True
random,1000,5-6,Morgan + RF,Morgan + XGB,0.00314537418680762,0.00314537418680762,0.09380244341842384,False,False,True
random,1000,6-7,Morgan + XGB,Morgan + MLP,0.015394964814186096,0.015394964814186096,0.00020241859065056,True,True,True
random,2000,1-2,RDKit + MLP,RDKit + XGB,0.0086469665169716,0.0086469665169716,0.13873349167866106,False,False,True
random,2000,2-3,RDKit + XGB,2D graph + GINE,0.005441044270992299,0.005441044270992299,0.341293772558776,False,False,True
random,2000,3-4,2D graph + GINE,RDKit + RF,0.00207198485146938,0.00207198485146938,0.6804291899138748,False,False,True
random,2000,4-5,RDKit + RF,Morgan + RF,0.03610600706984642,0.03610600706984642,2.335482767739984e-06,True,True,True
random,2000,5-6,Morgan + RF,Morgan + XGB,0.013691096490015358,0.013691096490015358,1.858441976004402e-05,True,True,True
random,2000,6-7,Morgan + XGB,Morgan + MLP,0.0036601930856704603,0.0036601930856704603,0.00793989881151326,True,True,True
random,3000,1-2,RDKit + MLP,2D graph + GINE,0.006544163823127757,0.006544163823127757,0.33528284243845696,False,False,True
random,3000,2-3,2D graph + GINE,RDKit + XGB,0.007418078184127786,0.007418078184127786,0.25541650187294296,False,False,True
random,3000,3-4,RDKit + XGB,RDKit + RF,0.004975443732499918,0.004975443732499918,0.005758979563293851,True,True,True
random,3000,4-5,RDKit + RF,Morgan + RF,0.03346448126424846,0.03346448126424846,2.85240603602156e-07,True,True,True
random,3000,5-6,Morgan + RF,Morgan + MLP,0.013132782298669399,0.013132782298669399,0.0004917320088309151,True,True,True
random,3000,6-7,Morgan + MLP,Morgan + XGB,0.006911507248878501,0.006911507248878501,0.000901370739858884,True,True,True
random,5000,1-2,RDKit + MLP,2D graph + GINE,0.0008353695273399436,0.0008353695273399436,0.7997601377891939,False,False,True
random,5000,2-3,2D graph + GINE,RDKit + XGB,0.015013724565505976,0.015013724565505976,0.006956178760597692,True,True,True
random,5000,3-4,RDKit + XGB,RDKit + RF,1.809461140706292e-05,1.809461140706292e-05,0.9802243734150362,False,False,True
random,5000,4-5,RDKit + RF,Morgan + RF,0.031728115339330044,0.031728115339330044,1.297145823174533e-06,True,True,True
