method_id,method_label,representation,model,split,train_size,n_seeds,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_R2,std_R2
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,500,5,0.15200183364105452,0.00631501894326965,0.22617025682518044,0.013720563813389458,0.7473892736078322,0.028174670429897006
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,500,5,0.13556351661682126,0.004835911697765079,0.20670599389621258,0.013394663694897009,0.788892924785614,0.025461120867964617
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,500,5,0.13419221639633175,0.008635586573042099,0.5194765663303113,0.4435050753986937,-1.123239552974701,2.6497437912542465
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,500,5,0.19522836694643333,0.003894089411195655,0.27432359179780896,0.005149737769478621,0.629062270843202,0.013286542449939428
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,500,5,0.18995192050933835,0.004783360915746811,0.2658803773467812,0.005509781842518152,0.6514836430549622,0.015139619009321904
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,500,5,0.21059949994087215,0.0022921585746549377,0.29273129823658683,0.006016530176798291,0.577717661857605,0.012013722723657786
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,500,5,0.15883380472660064,0.013240990821208705,0.22864712044844798,0.01352594195804394,0.7417154072888394,0.030084452556430462
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,1000,5,0.13338805551271718,0.00629236317710294,0.20239154505715407,0.011733976607586188,0.7975869543694337,0.023824207849695377
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,1000,5,0.12023096233606334,0.0022321326811652947,0.18334346222976616,0.008390220942096044,0.834142529964447,0.01403072471766583
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,1000,5,0.1126955017447471,0.004657570386389067,0.30924892040274954,0.27810146036640687,0.20984830856323242,1.3811256005890462
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,1000,5,0.17213460373086353,0.002848143777152876,0.2520807156964778,0.0074921352082823675,0.6867538983322568,0.015861013587014347
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,1000,5,0.17527997791767116,0.003409382006128679,0.2504689910656362,0.011564680751711241,0.6905409455299377,0.025821910693726864
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,1000,5,0.19067494273185726,0.0023810491920517336,0.26915774599619213,0.00715800967482416,0.642913556098938,0.01569809057294984
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,1000,5,0.1344857037067413,0.006642139440212836,0.19666379024283762,0.008725089540567457,0.8092851796818193,0.014182813168245025
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,2000,5,0.11528439446698602,0.0011321600072246273,0.17944501871777296,0.0055623405635428155,0.8412217324058775,0.009379344370902208
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,2000,5,0.10777136534452433,0.0018718680638322633,0.16471894678039248,0.007312619454087593,0.8661435127258301,0.011080919544720238
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,2000,5,0.09912439882755274,0.009074022542244788,0.39348676649002545,0.5380017720164418,-0.9454807877540589,4.091874511563027
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,2000,5,0.15139040153683245,0.0015630015468881364,0.22839071569704247,0.006913988665604147,0.7428553269540517,0.013327200673483272
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,2000,5,0.1650814980268478,0.0007513521115040247,0.23601609993879732,0.0064512334274863465,0.7254243612289428,0.012596246281397067
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,2000,5,0.16874169111251827,0.0012968008555669078,0.24367322317854506,0.007816387620108552,0.7072778582572937,0.016160424205121895
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,2000,5,0.11321240961551664,0.011330372976618801,0.1673249352873834,0.009039479377011397,0.8616285505810662,0.015808593715604658
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,3000,5,0.10673486257767655,0.0010846403489125345,0.16896457207112064,0.006650028647084577,0.8591486923334136,0.011022744628226945
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,3000,5,0.10175941884517666,0.0011934706797115514,0.15603242938950418,0.006606945967761249,0.8799004077911377,0.009524558337985342
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,3000,5,0.0877971768379211,0.0014165186871303585,0.16136174945517326,0.063780942939207,0.8543711066246032,0.13195652287730184
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,3000,5,0.14019934384192503,0.00104700403477673,0.21900875623628205,0.006962556104701487,0.7634834737986258,0.014033363155744072
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,3000,5,0.16024363338947292,0.0028637832974751816,0.22929872620899924,0.006637159322320129,0.7408622026443481,0.011637975516483589
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,3000,5,0.1533321261405944,0.0019459447379907508,0.22638996106441214,0.0053619612493147955,0.747420608997345,0.008788158140869471
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,3000,5,0.09434134066104885,0.012878904912480237,0.1484762810640237,0.012384002447425747,0.8907922560002259,0.018052454666158787
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,5000,5,0.09609354151511262,0.0007863009760327175,0.1520279493208212,0.006022998243969719,0.8860336358039804,0.0077364611865734486
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,5000,5,0.09607544690370555,0.001837583066305075,0.14121186044273737,0.006105678020870524,0.9016468524932861,0.007454837843300348
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,5000,5,0.08022635281085963,0.0021199239801437124,0.13285883678647586,0.02969968476489905,0.9096977472305298,0.043711738573322535
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,5000,5,0.12782165685444266,0.0010536802031825248,0.20298027907044086,0.009992240652211489,0.7967781272749832,0.017388986700215624
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,5000,5,0.15569673180580135,0.0024262780595208575,0.21995415063780221,0.008205343940367557,0.7615298628807068,0.01379038940210218
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,5000,5,0.13603911399841306,0.0019224944682829234,0.2021541761633608,0.004576714845651698,0.7986095428466797,0.006477312607111235
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,5000,5,0.08106172233819958,0.008132989017439099,0.13040418079361432,0.006655513310595882,0.9161047313306996,0.007467924203762804
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,7000,5,0.08952373406391824,0.0009390465933320222,0.14385160054568252,0.004839709925817001,0.8979165728338241,0.007155266176867447
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,7000,5,0.09362826496362679,0.0007867617116189626,0.13821555753853113,0.005545404237163333,0.9057661652565002,0.007061584089940296
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,random,7000,5,0.07476319670677181,0.0028509060384792257,0.11442727859316151,0.005470931647635235,0.9354105353355407,0.005434832612109756
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,random,7000,5,0.11859151982939486,0.0015057582899366258,0.19161148358336338,0.01085397934682095,0.8188149414998229,0.01824711992210983
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,random,7000,5,0.1532897680997848,0.002364676458969032,0.21626946031768007,0.008067022127675096,0.769441294670105,0.01364806671140189
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,random,7000,5,0.12345253527164454,0.003190428775192357,0.1878942629674427,0.0056830186473890735,0.8259752273559571,0.008652092385701592
gine,2D graph + GINE,2D molecular graph,scratch GINE,random,7000,5,0.07062035053968424,0.002378051587480008,0.11582523662124596,0.00696625100461335,0.9337322247734463,0.007381632492526958
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,8000,5,0.08758883981626105,0.0008096690319724269,0.14179555312086442,0.00456442976536728,0.900817705432748,0.006709336961243784
