method_id,method_label,representation,model,train_size,mean_MAE_random,mean_MAE_scaffold,std_MAE_random,std_MAE_scaffold,gap
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,500,0.15200183364105452,0.1830148100245687,0.00631501894326965,0.023947948307896542,0.03101297638351419
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,500,0.13556351661682126,0.16818921566009518,0.004835911697765079,0.025655783446654156,0.03262569904327392
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,500,0.13419221639633175,0.1651808142662048,0.008635586573042099,0.02372568421018965,0.03098859786987304
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,500,0.19522836694643333,0.22028075749215184,0.003894089411195655,0.01889059763771265,0.025052390545718506
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,500,0.18995192050933835,0.2128480821847915,0.004783360915746811,0.018403455333368367,0.022896161675453164
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,500,0.21059949994087215,0.25446015000343325,0.0022921585746549377,0.038995204604574035,0.043860650062561096
gine,2D graph + GINE,2D molecular graph,scratch GINE,500,0.15883380472660064,0.1851651310920715,0.013240990821208705,0.025864387664799204,0.026331326365470864
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,1000,0.13338805551271718,0.1615099719013418,0.00629236317710294,0.022613932575772613,0.02812191638862463
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,1000,0.12023096233606334,0.15225753188133234,0.0022321326811652947,0.024940575778297707,0.032026569545269
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1000,0.1126955017447471,0.14431811869144434,0.004657570386389067,0.021794052639422898,0.03162261694669724
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,1000,0.17213460373086353,0.20446020098087025,0.002848143777152876,0.02080227205674077,0.03232559725000672
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,1000,0.17527997791767116,0.20183078050613398,0.003409382006128679,0.017843551791444028,0.02655080258846282
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,1000,0.19067494273185726,0.23695431351661683,0.0023810491920517336,0.03830168522085641,0.04627937078475958
gine,2D graph + GINE,2D molecular graph,scratch GINE,1000,0.1344857037067413,0.17555632591247555,0.006642139440212836,0.016917206144661422,0.041070622205734264
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,2000,0.11528439446698602,0.14635082872691413,0.0011321600072246273,0.0197995013055056,0.03106643425992811
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,2000,0.10777136534452433,0.14178436547517773,0.0018718680638322633,0.027552062286208944,0.03401300013065339
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,2000,0.09912439882755274,0.13349152654409405,0.009074022542244788,0.033490651474810305,0.03436712771654131
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,2000,0.15139040153683245,0.1951530973359991,0.0015630015468881364,0.028800889188603688,0.04376269579916664
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,2000,0.1650814980268478,0.19515334069728846,0.0007513521115040247,0.019314028041397785,0.030071842670440663
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,2000,0.16874169111251827,0.21240034401416774,0.0012968008555669078,0.03166287564902787,0.04365865290164947
gine,2D graph + GINE,2D molecular graph,scratch GINE,2000,0.11321240961551664,0.1324619591236114,0.011330372976618801,0.02007398322314898,0.01924954950809475
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,3000,0.10673486257767655,0.1403850202989898,0.0010846403489125345,0.021152702745507367,0.03365015772131326
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,3000,0.10175941884517666,0.13383149504661557,0.0011934706797115514,0.024197067723028747,0.03207207620143891
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,3000,0.0877971768379211,0.12625052481889723,0.0014165186871303585,0.030881915193696655,0.03845334798097613
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,3000,0.14019934384192503,0.18693910932771168,0.00104700403477673,0.028106956824009453,0.04673976548578665
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,3000,0.16024363338947292,0.18874286413192748,0.0028637832974751816,0.016364486298513167,0.028499230742454557
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,3000,0.1533321261405944,0.19944948256015774,0.0019459447379907508,0.029096643423947483,0.04611735641956333
gine,2D graph + GINE,2D molecular graph,scratch GINE,3000,0.09434134066104885,0.1249950587749481,0.012878904912480237,0.021306124026355476,0.030653718113899248
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,5000,0.09609354151511262,0.13515070716890593,0.0007863009760327175,0.02763099510998947,0.0390571656537933
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,5000,0.09607544690370555,0.1285376742482185,0.001837583066305075,0.02527110131464766,0.03246222734451294
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,5000,0.08022635281085963,0.10906133651733396,0.0021199239801437124,0.023965787166589817,0.028834983706474332
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,5000,0.12782165685444266,0.17874405335916027,0.0010536802031825248,0.03484498386920867,0.05092239650471761
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,5000,0.15569673180580135,0.18526068627834316,0.0024262780595208575,0.016818828617189252,0.029563954472541815
