split,method_id,method_label,rank_500,mean_MAE_500,rank_1000,mean_MAE_1000,rank_2000,mean_MAE_2000,rank_3000,mean_MAE_3000,rank_5000,mean_MAE_5000,rank_7000,mean_MAE_7000,rank_8000,mean_MAE_8000,rank_10000,mean_MAE_10000
random,rdkit_rf,RDKit + RF,3,0.15200183364105452,3,0.13338805551271718,4,0.11528439446698602,4,0.10673486257767655,4,0.09609354151511262,3,0.08952373406391824,3,0.08758883981626105,3,0.0836853583861434
random,rdkit_xgb,RDKit + XGB,2,0.13556351661682126,2,0.12023096233606334,2,0.10777136534452433,3,0.10175941884517666,3,0.09607544690370555,4,0.09362826496362679,4,0.0926731586456298,4,0.09168694615364073
random,rdkit_mlp,RDKit + MLP,1,0.13419221639633175,1,0.1126955017447471,1,0.09912439882755274,1,0.0877971768379211,1,0.08022635281085963,2,0.07476319670677181,2,0.07268549799919126,2,0.06895465552806852
random,morgan_rf,Morgan + RF,6,0.19522836694643333,5,0.17213460373086353,5,0.15139040153683245,5,0.14019934384192503,5,0.12782165685444266,5,0.11859151982939486,5,0.11456542798682041,5,0.10968617905967767
random,morgan_xgb,Morgan + XGB,5,0.18995192050933835,6,0.17527997791767116,6,0.1650814980268478,7,0.16024363338947292,7,0.15569673180580135,7,0.1532897680997848,7,0.15274437069892882,7,0.15252502858638758
random,morgan_mlp,Morgan + MLP,7,0.21059949994087215,7,0.19067494273185726,7,0.16874169111251827,6,0.1533321261405944,6,0.13603911399841306,6,0.12345253527164454,6,0.11944156587123869,6,0.11289743632078167
random,gine,2D graph + GINE,4,0.15883380472660064,4,0.1344857037067413,3,0.11321240961551664,2,0.09434134066104885,2,0.08106172233819958,1,0.07062035053968424,1,0.06639497280120846,1,0.0605665750801563
scaffold,rdkit_rf,RDKit + RF,3,0.1830148100245687,3,0.1615099719013418,4,0.14635082872691413,4,0.1403850202989898,4,0.13515070716890593,4,0.13020461466616345,4,0.12839965048086305,4,0.12385639627448682
scaffold,rdkit_xgb,RDKit + XGB,2,0.16818921566009518,2,0.15225753188133234,3,0.14178436547517773,3,0.13383149504661557,3,0.1285376742482185,3,0.12668479532003396,3,0.12558985203504558,3,0.12312281727790828
scaffold,rdkit_mlp,RDKit + MLP,1,0.1651808142662048,1,0.14431811869144434,2,0.13349152654409405,2,0.12625052481889723,1,0.10906133651733396,2,0.10976369082927699,2,0.1097248390316963,2,0.10476193577051156
scaffold,morgan_rf,Morgan + RF,6,0.22028075749215184,6,0.20446020098087025,5,0.1951530973359991,5,0.18693910932771168,5,0.17874405335916027,6,0.17797613681834573,6,0.1722434096419768,6,0.17010587148233808
scaffold,morgan_xgb,Morgan + XGB,5,0.2128480821847915,5,0.20183078050613398,6,0.19515334069728846,6,0.18874286413192748,7,0.18526068627834316,7,0.18196168243885036,7,0.18306979537010187,7,0.18210351765155788
scaffold,morgan_mlp,Morgan + MLP,7,0.25446015000343325,7,0.23695431351661683,7,0.21240034401416774,7,0.19944948256015774,6,0.18439151644706722,5,0.1724458038806915,5,0.16765437126159663,5,0.15937223136425016
scaffold,gine,2D graph + GINE,4,0.1851651310920715,4,0.17555632591247555,1,0.1324619591236114,1,0.1249950587749481,2,0.11082541197538372,1,0.09585175812244409,1,0.09832286834716794,1,0.09282046705484386
