split,descriptor,descriptor_category,short_chemical_interpretation,mean_normalized_gain,std_normalized_gain,n_seeds,n_records,rank_within_split,combined_rank,importance_for_plot,std_for_plot,rank_for_plot,main_text_category
combined,fr_aniline,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.,0.1480037580638779,0.0623214774113941,,10.0,,1.0,0.1480037580638779,0.0623214774113941,1.0,functional group counts
combined,fr_Al_COO,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.,0.0795490719975525,0.062687536238514,,10.0,,2.0,0.0795490719975525,0.062687536238514,2.0,functional group counts
combined,SlogP_VSA10,lipophilicity,may encode lipophilicity-weighted structural information.,0.0712607921777465,0.043196161774312,,10.0,,3.0,0.0712607921777465,0.043196161774312,3.0,polarity / surface-area descriptors
combined,fr_COO2,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.,0.0661172809317067,0.0560027898439673,,10.0,,4.0,0.0661172809317067,0.0560027898439673,4.0,functional group counts
combined,EState_VSA8,polarity / charge-related,may encode charge or electrotopological-state information.,0.040207652693741,0.0091636473350661,,10.0,,5.0,0.040207652693741,0.0091636473350661,5.0,electrotopological-state descriptors
combined,NumAmideBonds,other RDKit descriptor,captures an RDKit-defined structural property.,0.0241048114727474,0.0074041382749539,,10.0,,6.0,0.0241048114727474,0.0074041382749539,6.0,functional group counts
combined,SMR_VSA3,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information.",0.0238076763752409,0.0098622065162705,,10.0,,7.0,0.0238076763752409,0.0098622065162705,7.0,polarity / surface-area descriptors
combined,MolMR,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information.",0.0214389180300086,0.0052782017859173,,10.0,,8.0,0.0214389180300086,0.0052782017859173,8.0,molecular size / polarizability / topology
combined,BertzCT,topology / connectivity,"captures graph connectivity, branching, or shape information.",0.0198753924320845,0.0070737922830273,,10.0,,9.0,0.0198753924320845,0.0070737922830273,9.0,molecular size / polarizability / topology
combined,SMR_VSA6,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information.",0.019659234647159,0.0055536964407771,,10.0,,10.0,0.019659234647159,0.0055536964407771,10.0,polarity / surface-area descriptors
combined,fr_amide,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.,0.01861719535987,0.0194330309371655,,10.0,,11.0,0.01861719535987,0.0194330309371655,11.0,functional group counts
combined,SlogP_VSA8,lipophilicity,may encode lipophilicity-weighted structural information.,0.0183016715461611,0.0089474877917385,,10.0,,12.0,0.0183016715461611,0.0089474877917385,12.0,polarity / surface-area descriptors
combined,fr_quatN,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.,0.0168050313358191,0.0077078296721132,,10.0,,13.0,0.0168050313358191,0.0077078296721132,13.0,functional group counts
combined,EState_VSA1,polarity / charge-related,may encode charge or electrotopological-state information.,0.0163360409619225,0.0191493173025164,,10.0,,14.0,0.0163360409619225,0.0191493173025164,14.0,electrotopological-state descriptors
combined,SlogP_VSA6,lipophilicity,may encode lipophilicity-weighted structural information.,0.0156903932710091,0.0038326304286991,,10.0,,15.0,0.0156903932710091,0.0038326304286991,15.0,polarity / surface-area descriptors
combined,SMR_VSA1,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information.",0.0154883365885748,0.0064587723914587,,10.0,,16.0,0.0154883365885748,0.0064587723914587,16.0,polarity / surface-area descriptors
combined,NumHeteroatoms,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.,0.0142964650473185,0.0082771945725079,,10.0,,17.0,0.0142964650473185,0.0082771945725079,17.0,functional group counts
combined,VSA_EState6,polarity / charge-related,may encode charge or electrotopological-state information.,0.0133573226434088,0.0087755398615703,,10.0,,18.0,0.0133573226434088,0.0087755398615703,18.0,electrotopological-state descriptors
combined,NumSaturatedCarbocycles,other RDKit descriptor,captures an RDKit-defined structural property.,0.0124956722069926,0.0250758356302164,,10.0,,19.0,0.0124956722069926,0.0250758356302164,19.0,functional group counts
combined,fr_C_O_noCOO,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.,0.0112978106036604,0.004790321797677,,10.0,,20.0,0.0112978106036604,0.004790321797677,20.0,functional group counts
