split,train_size,method_id,method_label,representation,model,rank,mean_MAE,std_MAE,mean_R2,std_R2
random,500,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.13419221639633175,0.008635586573042099,-1.123239552974701,2.6497437912542465
random,500,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,2,0.13556351661682126,0.004835911697765079,0.788892924785614,0.025461120867964617
random,500,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,3,0.15200183364105452,0.00631501894326965,0.7473892736078322,0.028174670429897006
random,500,gine,2D graph + GINE,2D molecular graph,scratch GINE,4,0.15883380472660064,0.013240990821208705,0.7417154072888394,0.030084452556430462
random,500,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,5,0.18995192050933835,0.004783360915746811,0.6514836430549622,0.015139619009321904
random,500,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,6,0.19522836694643333,0.003894089411195655,0.629062270843202,0.013286542449939428
random,500,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,7,0.21059949994087215,0.0022921585746549377,0.577717661857605,0.012013722723657786
random,1000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.1126955017447471,0.004657570386389067,0.20984830856323242,1.3811256005890462
random,1000,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,2,0.12023096233606334,0.0022321326811652947,0.834142529964447,0.01403072471766583
random,1000,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,3,0.13338805551271718,0.00629236317710294,0.7975869543694337,0.023824207849695377
random,1000,gine,2D graph + GINE,2D molecular graph,scratch GINE,4,0.1344857037067413,0.006642139440212836,0.8092851796818193,0.014182813168245025
random,1000,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,5,0.17213460373086353,0.002848143777152876,0.6867538983322568,0.015861013587014347
random,1000,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,6,0.17527997791767116,0.003409382006128679,0.6905409455299377,0.025821910693726864
random,1000,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,7,0.19067494273185726,0.0023810491920517336,0.642913556098938,0.01569809057294984
random,2000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.09912439882755274,0.009074022542244788,-0.9454807877540589,4.091874511563027
random,2000,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,2,0.10777136534452433,0.0018718680638322633,0.8661435127258301,0.011080919544720238
random,2000,gine,2D graph + GINE,2D molecular graph,scratch GINE,3,0.11321240961551664,0.011330372976618801,0.8616285505810662,0.015808593715604658
random,2000,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,4,0.11528439446698602,0.0011321600072246273,0.8412217324058775,0.009379344370902208
random,2000,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,5,0.15139040153683245,0.0015630015468881364,0.7428553269540517,0.013327200673483272
random,2000,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,6,0.1650814980268478,0.0007513521115040247,0.7254243612289428,0.012596246281397067
random,2000,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,7,0.16874169111251827,0.0012968008555669078,0.7072778582572937,0.016160424205121895
random,3000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.0877971768379211,0.0014165186871303585,0.8543711066246032,0.13195652287730184
random,3000,gine,2D graph + GINE,2D molecular graph,scratch GINE,2,0.09434134066104885,0.012878904912480237,0.8907922560002259,0.018052454666158787
