split,train_size,method_id,method_label,representation,model,rank,mean_MAE,std_MAE,mean_R2,std_R2
random,500,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.13419221639633175,0.008635586573042099,-1.123239552974701,2.6497437912542465
random,1000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.1126955017447471,0.004657570386389067,0.20984830856323242,1.3811256005890462
random,2000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.09912439882755274,0.009074022542244788,-0.9454807877540589,4.091874511563027
random,3000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.0877971768379211,0.0014165186871303585,0.8543711066246032,0.13195652287730184
random,5000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.08022635281085963,0.0021199239801437124,0.9096977472305298,0.043711738573322535
random,7000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.07062035053968424,0.002378051587480008,0.9337322247734463,0.007381632492526958
random,8000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.06639497280120846,0.002692720495643447,0.9430451654549408,0.0033794143668725934
random,10000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.0605665750801563,0.0017043833578719435,0.951658165778985,0.0033517241786265245
scaffold,500,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.1651808142662048,0.02372568421018965,0.32265429496765136,0.8767814748689436
scaffold,1000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.14431811869144434,0.021794052639422898,0.7462530732154846,0.06276229730805469
scaffold,2000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.1324619591236114,0.02007398322314898,0.8223041823639413,0.03721865554887873
scaffold,3000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.1249950587749481,0.021306124026355476,0.8379101156741602,0.038693857688657525
scaffold,5000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.10906133651733396,0.023965787166589817,0.8466649532318116,0.1019463338105163
scaffold,7000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.09585175812244409,0.015490773204603807,0.8809295296858783,0.03240911704679929
scaffold,8000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.09832286834716794,0.01679277108861355,0.8806757745852984,0.029266216856966277
scaffold,10000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.09282046705484386,0.014686450777475062,0.8920467504110061,0.03861069035271104
