split,seed,train_size,descriptor,normalized_gain,descriptor_category,short_chemical_interpretation
random,11,10000,MaxAbsEStateIndex,0.0005770631894744561,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,MaxEStateIndex,0.00016476641735821212,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,MinAbsEStateIndex,0.001074328498356216,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,MinEStateIndex,0.005961837904088124,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,qed,0.0007819263937260036,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,SPS,0.001539923411395996,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,MolWt,0.0004036512992444147,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,HeavyAtomMolWt,0.0010891838814922241,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,ExactMolWt,0.00022223967047068786,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,NumValenceElectrons,0.00034845159960088956,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,NumRadicalElectrons,0.0,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,MaxPartialCharge,0.006293561524810311,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,MinPartialCharge,0.0023201447406420808,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,MaxAbsPartialCharge,0.001480220073429743,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,MinAbsPartialCharge,0.0009447540947479968,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,FpDensityMorgan1,0.000680467361616016,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,FpDensityMorgan2,0.0005526694398124965,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,FpDensityMorgan3,0.0009080090117758081,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,BCUT2D_MWHI,0.005138590502370119,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,BCUT2D_MWLOW,0.0004896131582645902,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,BCUT2D_CHGHI,0.0005687744651373033,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,BCUT2D_CHGLO,0.0008035167075000493,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,BCUT2D_LOGPHI,0.0015502743512349213,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,BCUT2D_LOGPLOW,0.0007472798466984879,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,BCUT2D_MRHI,0.00126356013099963,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,BCUT2D_MRLOW,0.008526555749100558,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,BalabanJ,0.0006143972560827567,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,BertzCT,0.013221783892944384,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Chi0,6.277439562825073e-05,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Chi0n,0.007563351513338638,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Chi0v,0.012147308760459651,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Chi1,0.00042775442096522267,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Chi1n,0.0020186081734183134,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Chi1v,0.0011093519021777975,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Chi2n,0.0010922292604722953,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Chi2v,0.0024456300677204294,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Chi3n,0.003226244739635372,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Chi3v,0.0007446153171852836,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Chi4n,0.000217940833723375,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Chi4v,0.011313178105461206,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,HallKierAlpha,0.004359433027231684,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,Kappa1,0.0004973585571110502,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Kappa2,0.0007984643020599886,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,Kappa3,0.00037750119213663205,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,11,10000,LabuteASA,0.0026532026868552193,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,PEOE_VSA1,0.005752472446069739,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,PEOE_VSA10,0.003303848131340272,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,PEOE_VSA11,0.0051344705792229625,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,PEOE_VSA12,0.0021276243691715734,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,PEOE_VSA13,0.0007502145900031994,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,PEOE_VSA14,0.00034011515638396865,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,PEOE_VSA2,0.0032106109784969927,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,PEOE_VSA3,0.00408665207590919,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,PEOE_VSA4,0.0014076907248755678,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,PEOE_VSA5,0.001040834481411304,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,PEOE_VSA6,0.0004921146643714073,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,PEOE_VSA7,0.009669231400047685,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,PEOE_VSA8,0.008354734295002273,polarity / charge-related,may encode charge or electrotopological-state information.
