split,descriptor,descriptor_category,short_chemical_interpretation,mean_normalized_gain,std_normalized_gain,n_seeds,n_records,rank_within_split,combined_rank
random,fr_aniline,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.,0.11097411110866702,0.037830501113082976,5,,1,
random,fr_Al_COO,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.,0.10676521584999495,0.06774356324461567,5,,2,
random,SlogP_VSA10,lipophilicity,may encode lipophilicity-weighted structural information.,0.087144123128816,0.03948235795676481,5,,3,
random,fr_COO2,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.,0.0784495666324456,0.04900084679254238,5,,4,
random,EState_VSA8,polarity / charge-related,may encode charge or electrotopological-state information.,0.03756993683169622,0.01073408233706784,5,,5,
random,SMR_VSA3,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information.",0.02987809535859451,0.010031358469079652,5,,6,
random,NumAmideBonds,other RDKit descriptor,captures an RDKit-defined structural property.,0.029591706364037955,0.0037941030861767555,5,,7,
random,SMR_VSA6,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information.",0.02046493784856183,0.007714394232725161,5,,8,
random,MolMR,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information.",0.019661564115032004,0.0046767116232681915,5,,9,
random,VSA_EState6,polarity / charge-related,may encode charge or electrotopological-state information.,0.019309090750289085,0.005128406747143955,5,,10,
random,BertzCT,topology / connectivity,"captures graph connectivity, branching, or shape information.",0.01890966033418474,0.00437213857612706,5,,11,
random,SMR_VSA1,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information.",0.018873554111002146,0.007563179035852237,5,,12,
random,fr_amide,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.,0.01770751441811047,0.024237609270167954,5,,13,
random,fr_quatN,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.,0.016911574417434357,0.007413515852915706,5,,14,
random,SlogP_VSA6,lipophilicity,may encode lipophilicity-weighted structural information.,0.015714186041647673,0.003581220404201613,5,,15,
random,SMR_VSA7,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information.",0.014573293679776233,0.003940933017871079,5,,16,
random,SlogP_VSA8,lipophilicity,may encode lipophilicity-weighted structural information.,0.014236358040805048,0.002623095950585812,5,,17,
