panel,split,seed,train_size,role,count,scaffold
split_size,random,11.0,10000.0,test,3047,
split_size,random,11.0,10000.0,train,10000,
split_size,random,11.0,10000.0,val,1523,
split_size,scaffold,11.0,10000.0,test,3490,
split_size,scaffold,11.0,10000.0,train,10000,
split_size,scaffold,11.0,10000.0,val,1748,
top_scaffold,,,,,2244,c1ccccc1
top_scaffold,,,,,322,C1CCCCC1
top_scaffold,,,,,258,c1ccc2ccccc2c1
top_scaffold,,,,,257,c1ccc(-c2ccccc2)cc1
top_scaffold,,,,,207,C1CCNCC1
top_scaffold,,,,,180,c1ccc(Cc2ccccc2)cc1
top_scaffold,,,,,162,c1ccc2[nH]ccc2c1
top_scaffold,,,,,143,c1ccncc1
top_scaffold,,,,,114,C1CCCC1
top_scaffold,,,,,114,C1C2CC3CC1CC(C2)C3
top_scaffold,,,,,112,C1=CCCCC1
top_scaffold,,,,,105,C1CCNC1
top_scaffold,,,,,96,c1ccc(Nc2ccccc2)cc1
top_scaffold,,,,,89,c1ccc2ncccc2c1
top_scaffold,,,,,81,O=C(Nc1ccccc1)c1ccccc1
top_scaffold,,,,,75,c1ccc(CCc2ccccc2)cc1
top_scaffold,,,,,73,c1ccc2c(c1)Cc1ccccc1-2
top_scaffold,,,,,70,C1CC1
top_scaffold,,,,,64,c1ccc(CNc2ccccc2)cc1
top_scaffold,,,,,60,c1ccc(-c2ccc3ccccc3n2)cc1
top_scaffold,,,,,59,c1ccsc1
top_scaffold,,,,,57,C1CC2CCC1C2
top_scaffold,,,,,54,O=C(c1ccccc1)c1ccccc1
top_scaffold,,,,,53,c1ccoc1
top_scaffold,,,,,53,O=C(NC(=S)Nc1ccccc1)c1ccccc1
top_scaffold,,,,,48,C1CNCCN1
top_scaffold,,,,,47,c1ccc2c(c1)ccc1ccccc12
top_scaffold,,,,,46,c1ccc2c(c1)CCCC2
top_scaffold,,,,,45,C1CCC1
top_scaffold,,,,,45,c1ccc(C2CCCCC2)cc1
